19.04.2023                              Salida dinámica de lista                                                                                   1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	Importe en ML	ML	Texto	   ImpteML2	ML2
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    6.984,00	BOB		  1.003,45	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    1.191,10	BOB		    171,14	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	       52,39	BOB		      7,53	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	      663,00	BOB		     95,26	USD
			CCAJ-SC39/176/20		113065611	14.04.2023	14.04.2023	40	    4.444,80	BOB		    638,62	USD
			DISALTO		113065129	14.04.2023	14.04.2023	40	   65.359,20	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/152/20	  9.390,69	USD
			DISALTO		113065129	14.04.2023	14.04.2023	50	-65.359,20	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/152/20	-9.390,69	USD
			DISALTO		113065132	14.04.2023	14.04.2023	40	  190.718,90	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/149/20	 27.402,14	USD
			DISALTO		113065132	14.04.2023	14.04.2023	50	-190.718,90	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/149/20	-27.402,14	USD
			CCAJ-EA10/149/20		113064816	14.04.2023	14.04.2023	40	  190.718,90	BOB	LP.TRASPASO DISALTO A BISA 0022 12.04	 27.402,14	USD
			DISALTO		113065135	14.04.2023	14.04.2023	50	-3,10	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/82/23	-0,45	USD
			DISPAZ		113065137	14.04.2023	14.04.2023	40	   79.735,65	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	 11.456,27	USD
			DISPAZ		113065137	14.04.2023	14.04.2023	50	-79.735,65	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/158/20	-11.456,27	USD
			DISPAZ		113065138	14.04.2023	14.04.2023	40	  127.444,10	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/155/20	 18.310,93	USD
			DISPAZ		113065138	14.04.2023	14.04.2023	50	-127.444,10	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/155/20	-18.310,93	USD
			CCAJ-LP02/155/20		113064813	14.04.2023	14.04.2023	40	  127.444,10	BOB	LP.TRASPASO DISPAZ A BISA 0022 12.04	 18.310,93	USD
			DISPAZ		113065140	14.04.2023	14.04.2023	40	   17.120,90	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/154/20	  2.459,90	USD
			DISPAZ		113065140	14.04.2023	14.04.2023	50	-17.120,90	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/154/20	-2.459,90	USD
			CCAJ-LP02/154/20		113064814	14.04.2023	14.04.2023	40	   17.120,90	BOB	LP.TRASPASO DISPAZ A BISA 0022 11.04	  2.459,90	USD
			DISPAZ		113065146	14.04.2023	14.04.2023	50	-18,13	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/160/23	-2,60	USD
			CCAJ-LP01/160/23		113064753	14.04.2023	14.04.2023	40	    5.963,70	BOB	LP.TRASP.CAJA M.N AG. MURILLO A BISA 0022 13.04	    856,85	USD
			DISPAZ		113065148	14.04.2023	14.04.2023	50	-7,19	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/159/23	-1,03	USD
			CCAJ-LP01/159/23		113064782	14.04.2023	14.04.2023	40	    6.082,10	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 12.04	    873,86	USD
			DISPAZ		113065150	14.04.2023	14.04.2023	40	    3.027,50	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/158/23	    434,99	USD
			DISPAZ		113065150	14.04.2023	14.04.2023	50	-3.027,50	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/158/23	-434,99	USD
			CCAJ-LP01/158/23		113064781	14.04.2023	14.04.2023	40	    3.027,50	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 12.04	    434,99	USD
			DISPAZ		113065163	14.04.2023	14.04.2023	40	    3.480,60	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/148/23	    500,09	USD
			DISPAZ		113065163	14.04.2023	14.04.2023	50	-3.480,60	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/148/23	-500,09	USD
			CCAJ-LP01/148/23		113064752	14.04.2023	14.04.2023	40	    3.480,60	BOB	LP.TRASP.CAJA M.N AG. MURILLO A BISA 0022 05.04	    500,09	USD
			DISPAZ		113065164	14.04.2023	14.04.2023	50	-1,07	BOB	LP. COMPENSACION DISPAZ CCAJ-LP07/82/23	-0,16	USD
			CCAJ-LP07/82/23		113064783	14.04.2023	14.04.2023	40	    8.512,80	BOB	LP.TRASP.CAJ.MN.AG. MAX PAREDES A BISA 0022 12.04	  1.223,10	USD
			DISPAZ		113065165	14.04.2023	14.04.2023	50	-24,10	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/83/23	-3,46	USD
			CCAJ-LP08/83/23		113064780	14.04.2023	14.04.2023	40	    3.609,70	BOB	LP.TRASP.CAJ.MN.AG. ACHUMANI A BISA 0022 12.04	    518,64	USD
			DISPAZ		113065297	14.04.2023	14.04.2023	50	-6,06	BOB	LP. COMPENSACION DISPAZ CCAJ-LP07/77/23	-0,87	USD
			CCAJ-LP07/77/23		113065245	14.04.2023	14.04.2023	40	      238,96	BOB	LP.RECLASIF.POR MALA APROP.CTA A BISA 0022	     34,33	USD
			TRANSFERENCIA		113065022	14.04.2023	14.04.2023	40	  258.000,00	BOB	LP-TRASPASO DE FONDOS	 37.068,97	USD
			CCAJ-EA10/154/20		113065587	14.04.2023	14.04.2023	40	   36.065,20	BOB		  5.181,78	USD
			CCAJ-EA10/154/20		113065587	14.04.2023	14.04.2023	40	   16.016,50	BOB		  2.301,22	USD
			CCAJ-EA58/84/23		113065570	14.04.2023	14.04.2023	40	      390,85	BOB		     56,16	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	    6.053,58	BOB		    869,77	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	    4.303,94	BOB		    618,38	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	   13.908,70	BOB		  1.998,38	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	   21.977,70	BOB		  3.157,72	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	   13.739,40	BOB		  1.974,05	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      874,90	BOB		    125,70	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      472,20	BOB		     67,84	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      915,80	BOB		    131,58	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      434,80	BOB		     62,47	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      200,56	BOB		     28,82	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      505,94	BOB		     72,69	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      133,28	BOB		     19,15	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      726,00	BOB		    104,31	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      154,20	BOB		     22,16	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      249,00	BOB		     35,78	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	   31.254,72	BOB		  4.490,62	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      972,80	BOB		    139,77	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      140,00	BOB		     20,11	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	        4,00	BOB		      0,57	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      837,00	BOB		    120,26	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	    3.032,54	BOB		    435,71	USD
			CCAJ-LP02/160/20		113065606	14.04.2023	14.04.2023	40	      299,84	BOB		     43,08	USD
			CCAJ-LP07/84/23		113065576	14.04.2023	14.04.2023	40	      117,59	BOB		     16,90	USD
			CCAJ-LP08/85/23		113065573	14.04.2023	14.04.2023	40	    2.002,38	BOB		    287,70	USD
			COCHABAMBA		113065169	14.04.2023	14.04.2023	40	   96.629,12	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/87/202	 13.883,49	USD
			COCHABAMBA		113065169	14.04.2023	14.04.2023	50	-96.629,12	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/87/202	-13.883,49	USD
			COCHABAMBA		113065171	14.04.2023	14.04.2023	40	        0,00	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/86/202	      0,01	USD
			CCAJ-CB11/86/202		113064820	14.04.2023	14.04.2023	40	  583.536,23	BOB	LP.TRASPASO COCHABAMBA A BISA 0031 12.04	 83.841,41	USD
			COCHABAMBA		113065173	14.04.2023	14.04.2023	50	-2,32	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/145/23	-0,34	USD
			CCAJ-CB12/145/23		113064757	14.04.2023	14.04.2023	40	    3.810,40	BOB	LP.TRASP.CAJA M.N AG. HONDURAS A BISA 0031 13.04	    547,47	USD
			COCHABAMBA		113065175	14.04.2023	14.04.2023	40	    7.653,50	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/143/23	  1.099,64	USD
			COCHABAMBA		113065175	14.04.2023	14.04.2023	50	-7.653,50	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/143/23	-1.099,64	USD
			CCAJ-CB12/143/23		113064790	14.04.2023	14.04.2023	40	    7.653,50	BOB	LP.TRASP.CAJ.MN.AG. HONDURAS A BISA 0031 12.04	  1.099,64	USD
			COCHABAMBA		113065200	14.04.2023	14.04.2023	40	    6.582,00	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/142/23	    945,69	USD
			COCHABAMBA		113065200	14.04.2023	14.04.2023	50	-6.582,00	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/142/23	-945,69	USD
			CCAJ-CB12/142/23		113064789	14.04.2023	14.04.2023	40	    6.582,00	BOB	LP.TRASP.CAJ.MN.AG. HONDURAS A BISA 0031 12.04	    945,69	USD
			COCHABAMBA		113065201	14.04.2023	14.04.2023	40	    6.792,70	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/136/23	    975,96	USD
			COCHABAMBA		113065201	14.04.2023	14.04.2023	50	-6.792,70	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/136/23	-975,96	USD
			CCAJ-CB12/136/23		113064754	14.04.2023	14.04.2023	40	    6.792,70	BOB	LP.TRASP.CAJA M.N AG. HONDURAS A BISA 0031 08.04	    975,96	USD
			COCHABAMBA		113065204	14.04.2023	14.04.2023	50	-7,38	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB13/82/23	-1,06	USD
			CCAJ-CB13/82/23		113064791	14.04.2023	14.04.2023	40	    6.232,00	BOB	LP.TRASP.CAJ.MN.AG. CALAMA A BISA 0031 12.04	    895,40	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    6.477,34	BOB		    930,65	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    4.199,36	BOB		    603,36	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    3.000,00	BOB		    431,03	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    6.000,00	BOB		    862,07	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	  183.900,00	BOB		 26.422,41	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	      649,00	BOB		     93,25	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    5.039,93	BOB		    724,13	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    1.501,56	BOB		    215,74	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    1.258,82	BOB		    180,86	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    1.451,92	BOB		    208,61	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	       97,97	BOB		     14,08	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	    1.233,78	BOB		    177,27	USD
			CCAJ-CB11/88/202		113065608	14.04.2023	14.04.2023	40	      319,87	BOB		     45,96	USD
