18.05.2023                                    Salida dinámica de lista                                                                                          1


 Cta.mayor				*
 Sociedad				GV01


		 St	Asignación		Nº doc.	Fecha doc.	Fe.contab.	CT	 Importe en ML	ML	Texto	    ImpteML2	ML2	Lib.mayor
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       190,00	BOB		      27,30	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       537,78	BOB		      77,27	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       370,44	BOB		      53,22	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       178,90	BOB		      25,70	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     4.471,10	BOB		     642,40	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       597,00	BOB		      85,78	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       311,14	BOB		      44,70	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       110,25	BOB		      15,84	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        82,45	BOB		      11,85	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       561,00	BOB		      80,60	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     3.156,20	BOB		     453,48	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        77,67	BOB		      11,16	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       590,00	BOB		      84,77	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       314,85	BOB		      45,24	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     2.528,50	BOB		     363,29	USD	101043042
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        57,19	BOB		       8,22	USD	101043042
			DISCRUZ		113303215	17.05.2023	17.05.2023	40	       221,94	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC57/110/23	      31,89	USD	101043042
			DISCRUZ		113303215	17.05.2023	17.05.2023	50	-221,94	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC57/110/23	-31,89	USD	101043042
			DISCRUZ		113303217	17.05.2023	17.05.2023	40	       196,90	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC65/110/23	      28,29	USD	101043042
			DISCRUZ		113303217	17.05.2023	17.05.2023	50	-196,90	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC65/110/23	-28,29	USD	101043042
			DISCRUZ		113303218	17.05.2023	17.05.2023	40	        15,95	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/111/23	       2,29	USD	101043042
			DISCRUZ		113303218	17.05.2023	17.05.2023	50	-15,95	BOB	LP. COMPENSACION SUCRE CCAJ-SR24/111/23	-2,29	USD	101043042
			DISCRUZ		113303220	17.05.2023	17.05.2023	40	     1.861,78	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/233/20	     267,51	USD	101043042
			DISCRUZ		113303220	17.05.2023	17.05.2023	50	-1.861,78	BOB	LP. COMPENSACION DISCRUZ CCAJ-SC39/233/20	-267,51	USD	101043042
			TRANSFERENCIA		113302657	17.05.2023	17.05.2023	40	   212.000,00	BOB	LP-TRASPASO DE FONDOS	  30.459,77	USD	101044012
			CCAJ-EA10/204/20		113303043	17.05.2023	17.05.2023	40	    56.811,20	BOB		   8.162,53	USD	101044012
			CCAJ-EA10/204/20		113303043	17.05.2023	17.05.2023	40	     8.640,00	BOB		   1.241,38	USD	101044012
			CCAJ-EA10/204/20		113303043	17.05.2023	17.05.2023	40	   100.347,30	BOB		  14.417,72	USD	101044012
			CCAJ-EA10/204/20		113303043	17.05.2023	17.05.2023	40	    35.059,60	BOB		   5.037,30	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	        52,00	BOB		       7,47	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	     3.992,83	BOB		     573,68	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	     4.579,10	BOB		     657,92	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	    28.462,10	BOB		   4.089,38	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	    11.306,30	BOB		   1.624,47	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	    10.213,10	BOB		   1.467,40	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	    20.922,00	BOB		   3.006,03	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	       321,50	BOB		      46,19	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	       187,00	BOB		      26,87	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	       553,50	BOB		      79,53	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	     1.082,90	BOB		     155,59	USD	101044012
			CCAJ-LP02/212/20		113303076	17.05.2023	17.05.2023	40	       585,00	BOB		      84,05	USD	101044012
			CCAJ-LP01/217/23		113303173	17.05.2023	17.05.2023	40	        71,27	BOB		      10,24	USD	101044012
			CCAJ-LP08/112/23		113303240	17.05.2023	17.05.2023	40	     1.877,34	BOB		     269,73	USD	101044012
			CCAJ-LP07/111/23		113303244	17.05.2023	17.05.2023	40	       309,60	BOB		      44,48	USD	101044012
			CCAJ-EA58/111/23		113303250	17.05.2023	17.05.2023	40	       146,14	BOB		      21,00	USD	101044012
			KETAL S. A.		113303122	17.05.2023	17.05.2023	40	    48.841,18	BOB	LP. COMPENSACION KETAL S. A. DISALTO-DISPAZ.	   7.017,41	USD	101044012
			KETAL S. A.		113303122	17.05.2023	17.05.2023	50	-48.841,18	BOB	LP. COMPENSACION KETAL S. A. DISALTO-DISPAZ.	-7.017,41	USD	101044012
			DISALTO		113303124	17.05.2023	17.05.2023	40	    85.021,20	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/202/20	  12.215,69	USD	101044012
			DISALTO		113303124	17.05.2023	17.05.2023	50	-85.021,20	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/202/20	-12.215,69	USD	101044012
			DISALTO		113303127	17.05.2023	17.05.2023	40	   301.960,60	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/199/20	  43.385,14	USD	101044012
			DISALTO		113303127	17.05.2023	17.05.2023	50	-301.960,60	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/199/20	-43.385,14	USD	101044012
			CCAJ-EA10/199/20		113302840	17.05.2023	17.05.2023	40	   301.960,60	BOB	LP.TRASPASO DISALTO A BISA 1000 15.05	  43.385,14	USD	101044012
			DISALTO		113303131	17.05.2023	17.05.2023	40	   192.038,70	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/197/20	  27.591,77	USD	101044012
			DISALTO		113303131	17.05.2023	17.05.2023	50	-192.038,70	BOB	LP. COMPENSACION DISALTO CCAJ-EA10/197/20	-27.591,77	USD	101044012
			CCAJ-EA10/197/20		113302841	17.05.2023	17.05.2023	40	   192.038,70	BOB	LP.TRASPASO DISALTO A BISA 1000 12.05	  27.591,77	USD	101044012
			DISALTO		113303133	17.05.2023	17.05.2023	50	-1,36	BOB	LP. COMPENSACION DISALTO CCAJ-EA58/109/23	-0,20	USD	101044012
			DISPAZ		113303139	17.05.2023	17.05.2023	40	   114.247,01	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/210/20	  16.414,78	USD	101044012
			DISPAZ		113303139	17.05.2023	17.05.2023	50	-114.247,01	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/210/20	-16.414,78	USD	101044012
			DISPAZ		113303140	17.05.2023	17.05.2023	40	         0,00	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/207/20	       0,01	USD	101044012
			CCAJ-LP02/207/20		113302837	17.05.2023	17.05.2023	40	   200.553,95	BOB	LP.TRASPASO DISPAZ A BISA 1000 15.05	  28.815,22	USD	101044012
			DISPAZ		113303142	17.05.2023	17.05.2023	40	   178.312,50	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/205/20	  25.619,61	USD	101044012
			DISPAZ		113303142	17.05.2023	17.05.2023	50	-178.312,50	BOB	LP. COMPENSACION DISPAZ CCAJ-LP02/205/20	-25.619,61	USD	101044012
			CCAJ-LP02/205/20		113302838	17.05.2023	17.05.2023	40	   178.312,50	BOB	LP.TRASPASO DISPAZ A BISA 1000 12.05	  25.619,61	USD	101044012
			DISPAZ		113303145	17.05.2023	17.05.2023	40	     6.528,80	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/214/23	     938,05	USD	101044012
			DISPAZ		113303145	17.05.2023	17.05.2023	50	-6.528,80	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/214/23	-938,05	USD	101044012
			CCAJ-LP01/214/23		113302783	17.05.2023	17.05.2023	40	     6.528,80	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 15.05	     938,05	USD	101044012
			DISPAZ		113303147	17.05.2023	17.05.2023	50	-7,66	BOB	LP. COMPENSACION DISPAZ CCAJ-LP01/213/23	-1,10	USD	101044012
			CCAJ-LP01/213/23		113302782	17.05.2023	17.05.2023	40	     3.976,60	BOB	LP.TRASP.CAJ.MN.AG. MURILLO A BISA 0022 15.05	     571,35	USD	101044012
			DISPAZ		113303149	17.05.2023	17.05.2023	50	-1,22	BOB	LP. COMPENSACION DISPAZ CCAJ-LP07/109/23	-0,17	USD	101044012
			CCAJ-LP07/109/23		113302784	17.05.2023	17.05.2023	40	     7.539,60	BOB	LP.TRASP.CAJ.MN.AG. MAX PAREDES A BISA 0022 15.05	   1.083,28	USD	101044012
			DISPAZ		113303151	17.05.2023	17.05.2023	50	-46,47	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/110/23	-6,67	USD	101044012
			CCAJ-LP08/110/23		113302781	17.05.2023	17.05.2023	40	     3.304,20	BOB	LP.TRASP.CAJ.MN.AG. ACHUMANI A BISA 0022 15.05	     474,74	USD	101044012
			DISPAZ		113303153	17.05.2023	17.05.2023	50	-62,06	BOB	LP. COMPENSACION DISPAZ CCAJ-LP08/109/23	-8,91	USD	101044012
			CCAJ-CB11/115/20		113302845	17.05.2023	17.05.2023	40	   677.050,00	BOB	LP.TRASPASO COCHABAMBA A BISA 1000 15.05	  97.277,30	USD	101044022
			CCAJ-CB12/198/23		113303247	17.05.2023	17.05.2023	40	         9,50	BOB		       1,36	USD	101044022
			CCAJ-CB13/111/23		113303253	17.05.2023	17.05.2023	40	       141,46	BOB		      20,32	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	     2.622,88	BOB		     376,85	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	    27.598,40	BOB		   3.965,29	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	    20.592,00	BOB		   2.958,62	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	     1.144,00	BOB		     164,37	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       149,90	BOB		      21,54	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       255,00	BOB		      36,64	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	     1.037,00	BOB		     148,99	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       758,30	BOB		     108,95	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       463,45	BOB		      66,59	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       202,50	BOB		      29,09	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       102,44	BOB		      14,72	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       204,38	BOB		      29,36	USD	101044022
			CCAJ-CB11/117/20		113303289	17.05.2023	17.05.2023	40	       166,60	BOB		      23,94	USD	101044022
			COCHABAMBA		113303158	17.05.2023	17.05.2023	40	    17.060,13	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/116/20	   2.451,16	USD	101044022
			COCHABAMBA		113303158	17.05.2023	17.05.2023	50	-17.060,13	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/116/20	-2.451,16	USD	101044022
			COCHABAMBA		113303159	17.05.2023	17.05.2023	40	         0,00	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/114/20	       0,01	USD	101044022
			CCAJ-CB11/114/20		113302844	17.05.2023	17.05.2023	40	 1.110.462,58	BOB	LP.TRASPASO COCHABAMBA A BISA 1000 15.05	 159.549,22	USD	101044022
			COCHABAMBA		113303163	17.05.2023	17.05.2023	40	    47.098,20	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/113/20	   6.766,98	USD	101044022
			COCHABAMBA		113303163	17.05.2023	17.05.2023	50	-47.098,20	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB11/113/20	-6.766,98	USD	101044022
			COCHABAMBA		113303166	17.05.2023	17.05.2023	50	-0,83	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/194/23	-0,12	USD	101044022
			CCAJ-CB12/194/23		113302791	17.05.2023	17.05.2023	40	     4.088,20	BOB	LP.TRASP.CAJ.MN.AG. HONDURAS A BISA 0031 15.05	     587,39	USD	101044022
			COCHABAMBA		113303168	17.05.2023	17.05.2023	40	     6.062,10	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/193/23	     870,99	USD	101044022
			COCHABAMBA		113303168	17.05.2023	17.05.2023	50	-6.062,10	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB12/193/23	-870,99	USD	101044022
			CCAJ-CB12/193/23		113302790	17.05.2023	17.05.2023	40	     6.062,10	BOB	LP.TRASP.CAJ.MN.AG. HONDURAS A BISA 0031 15.05	     870,99	USD	101044022
			COCHABAMBA		113303174	17.05.2023	17.05.2023	50	-0,47	BOB	LP. COMPENSACION COCHABAMBA CCAJ-CB13/109/23	-0,07	USD	101044022
			CCAJ-CB13/109/23		113302793	17.05.2023	17.05.2023	40	     6.230,50	BOB	LP.TRASP.CAJ.MN.AG. CALAMA A BISA 0031 15.05	     895,19	USD	101044022
			CCAJ-SC65/111/23		113303265	17.05.2023	17.05.2023	40	     1.043,23	BOB		     149,89	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       960,00	BOB		     137,93	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       967,14	BOB		     138,96	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       109,50	BOB		      15,73	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	         2,00	BOB		       0,29	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     4.062,50	BOB		     583,69	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.440,00	BOB		     206,90	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        47,40	BOB		       6,81	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.526,69	BOB		     219,35	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       374,40	BOB		      53,79	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       561,69	BOB		      80,70	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       195,00	BOB		      28,02	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       136,10	BOB		      19,55	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        27,00	BOB		       3,88	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        62,40	BOB		       8,97	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        35,10	BOB		       5,04	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	        78,00	BOB		      11,21	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       859,20	BOB		     123,45	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       904,40	BOB		     129,94	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       148,96	BOB		      21,40	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       792,00	BOB		     113,79	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       195,00	BOB		      28,02	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	     1.691,80	BOB		     243,07	USD	101044032
			CCAJ-SC39/235/20		113303367	17.05.2023	17.05.2023	40	       722,98	BOB		     103,88	USD	101044032
